author,date,title,summary,link
Bree Benesh,"Aug 26, 2024",Better Together: The Open Source Power of TYPO3 CMS and amazee.io,"Webinar: Leverage the enterprise open source TYPO3 CMS and our open source hosting & CI/CD workflow to build robust, scalable & highly manageable web solutions",/blog/post/webinar-open-source-power-of-typo3
Toby Bellwood,"Jul 30, 2024",Lagoon V2.20 Release: New Features and Enhancements,"Discover how the release of Lagoon V2.20 vastly improved user management, security, and onboarding efficiency!",/blog/post/lagoon-v220-release
Martin Schlögl,"Jul 10, 2024",amazee.io Launches New Tokyo Cloud Region on AWS,"Discover our new Tokyo Cloud Region on AWS, offering flexible, scalable, and secure PaaS solutions for optimized application delivery and hosting in Japan.",/blog/post/aws-tokyo-cloud-region
Jason Lewis,"Jul 01, 2024","Meet Glyn Davies, our new Platform Engineer!","We’re excited to introduce Glyn Davies, our new Platform Engineer at amazee.io!",/blog/post/meet-glyn-davies
Justin Winter,"Jun 24, 2024",Building a Private LLM Chatbot from Technical Documentation: Challenges and Solutions,Join us for an exclusive webinar on building a private LLM chatbot. Learn about the journey from concept to ensuring data ownership and privacy.,/blog/post/building-a-private-llm-chatbot
Matthew Smith,"Jun 24, 2024","Welcome, Lauren Morris, Our New Product Manager at amazee.io!",We're excited to introduce Lauren Morris as our new Product Manager at amazee.io!,/blog/post/introducing-lauren-morris
Martin Schlögl,"Jun 18, 2024",amazee.io and ANNAI Inc. Partner to Bring Open Source PaaS to Japan,"We’re excited to announce that we have partnered with ANNAI Inc., a leader in open source technology solutions, to bring our innovative PaaS to Japan.",/blog/post/annai-partnership-announcement
Chris Davis,"Jun 03, 2024",amazee.io Achieves SOC 2 Type 2 Attestation - Our Ongoing Commitment to Enterprise-Level Security,amazee.io has achieved the SOC 2 Type 2 attestation report. Read how this achievement underscores our ongoing commitment to enterprise-level security.,/blog/post/soc2-type2-attestation-report-announcement
Toby Bellwood,"May 21, 2024",amazee.io Unveils Self-Sign-Up,Discover how our self-sign-up feature will enable you to access our open source app delivery & hosting platform autonomously and set up & explore it within minutes,/blog/post/self-sign-up-unveiled
Matthew Smith,"Apr 01, 2024","Introducing Laura Caraker, our new Sales Representative","We're thrilled to introduce our newest team member, Laura Caraker, who joins us as our Sales Representative.",/blog/post/introducing-laura-caraker
Jason Lewis,"Feb 13, 2024",amazee.io Achieves AWS Government Competency,"amazee.io has gained AWS Government Competency, serving government agencies globally, and delivering critical workloads on AWS.",/blog/post/aws-government-competency
Jonathan Peter,"Jan 30, 2024",amazee.io Proves Enhanced Enterprise-Level Security with SOC2 Type1 Attestation Report,amazee.io has completed a SOC2 Type1 attestation report. This achievement underscores our commitment to transparency and safeguarding client data.,/blog/post/soc2-type1-attestation-report-announcement
Jason Lewis,"Jan 16, 2024",Sounds Like Team Spirit – amazee.io Team Playlist 2024,"Embark on a sonic journey uniting continents. Explore the amazee.io team's musical mindscape, sharing songs for your work or leisure playlist.",/blog/post/sounds-like-team-spirit-playlist-2024
Matthew Smith,"Jan 08, 2024","Meet Rolando Scott, our Technical Account Manager","It’s our pleasure to welcome Rolando Scott, the newest addition to the amazee.io team. What an excellent start to the year!",/blog/post/introducing-rolando-scott
Jason Lewis,"Nov 20, 2023","Welcome Pedro Alagoa, our newest Software Engineer","We are delighted to introduce Software Engineer, Pedro Alagoa, our latest addition to the amazee.io team.",/blog/post/welcome-pedro-alagoa
Henk Beld,"Oct 24, 2023",Recap 2023 – ComposableNow: The Future of the Open Web,"ComposableNOW Recap: Technical talks, demos, and discussions about the latest innovations in Drupal, decoupled and composable web technology.",/blog/post/recap-2023-composablenow
Jason Lewis,"Oct 16, 2023","Excited to introduce our newest team member, Sales Representative, Kory Caze","Introducing you to Kory Caze, our newest team member. Explore the inspiring journey that led Kory to his position as a Sales Representative at amazee.io.",/blog/post/welcome-kory-caze
Toby Bellwood,"Sep 27, 2023",Salsa Digital and amazee.io secure new contract with the Australian Department of Finance for GovCMS,"We have signed a three-year contract with the GovCMS program to provide a whole-of-government, open source content management system and web hosting service.",/blog/post/salsa-digital-and-amazee-io-secure-new-contract-with-the-australian-department-of-finance-for-govcms
Matthew Smith,"Sep 21, 2023",Comparably awards honor our Perks and Benefits and Company Compensation at amazee.io,"We’re excited and humbled to announce that we have been recognized in two categories in the 2023 Comparably Best Places to Work Awards, as rated by our team",/blog/post/comparably-awards-honor-amazee-io
Jonathan Peter,"Sep 20, 2023",amazee.io Bolsters Enterprise-Level Security with ISO 27001 Security Standard Certification,"amazee.io is proud to announce that after a rigorous assessment process, we’ve reached a significant milestone in our pursuit of excellence in information security, receiving ISO/IEC 27001 certification for our Cloud Management Service.",/blog/post/amazee-io-bolsters-enterprise-level-security-with-iso-27001-security-standard-certification
Jason Lewis,"Aug 16, 2023",Podcast: Joining an Open Source Start-Up to Scale Growth,"amazee.io CEO, Franz Karlsberger, recently participated in a conversation with Emily Omier on her podcast ""The Business of Open Source."" Listen to the full episode.",/blog/post/podcast-joining-an-open-source-start-up-to-scale-growth
Jason Lewis,"Jul 17, 2023","Welcome our new Support Engineer, Johnny Squardo",Meet Johnny: A passionate technologist & software engineer who brings a wealth of experience in IT systems administration & software development to his role,/blog/post/welcome-johnny-squardo
Jason Lewis,"Jul 05, 2023",amazee.io recognized with AWS DevOps Software Competency,amazee.io announced today that it has achieved Amazon Web Services (AWS) DevOps Competency status. Read more about this prestigious recognition!,/blog/post/amazee-io-recognized-with-aws-devops-software-competency
Alanna Burke,"Jun 21, 2023",Recap – The first-ever LagoonCon,"We held the very first LagoonCon on June 6 at Cinderlands Warehouse during DrupalCon Pittsburgh, and it was a great success!",/blog/post/recap-the-first-ever-lagooncon
Jason Lewis,"Jun 12, 2023","Introducing Nicole Laine, our Digital Marketing and Advertising Specialist!",We are delighted to welcome Nicole Laine to the amazee.io team as our new Digital Marketing and Advertising Specialist! Nicole brings a wealth of experience and a genuine passion for marketing on a global scale.,/blog/post/introducing-nicole-laine
Jason Lewis,"Jun 01, 2023","Meet Matt Swan, our new UX Product Designer","We are stoked to introduce amazee.io’s new UX Product Designer, Matt Swann. Matt's journey has taken him from the vineyards of the Barossa Valley to the vibrant world of hospitality and eventually into the realm of web development.",/blog/post/meet-matt-swann
Sophia Harris,"May 02, 2023",amazee.io as your composable web platform,"Join us for our upcoming webinar on May 25, 2023, and learn why amazee.io is the composable web platform for modern businesses, and how amazee.io can be your composable web platform partner.",/blog/post/amazee-io-as-your-composable-web-platform
Jason Lewis,"Apr 03, 2023","Meet Cara Solt, our new IT Operations Engineer","We are thrilled to introduce Cara Solt, the newest member of our team here at amazee.io. With her impressive background in remote work and strong soft skills, we know she'll be a valuable addition to our team.",/blog/post/meet-cara-solt
Jason Lewis,"Apr 03, 2023","Say hi to Tobi Nehrlich, amazee.io’s Platform Lead","We are thrilled to introduce Tobi Nehrlich. With his impressive background in extensive experience in the cloud-native space & Kubernetes, he'll be a welcome addition!",/blog/post/say-hi-to-tobi-nehrlich
Franz Karlsberger,"Feb 23, 2023",amazee.io joins AWS ISV Accelerate Program to accelerate developer experience,amazee.io has joined the Amazon Web Services (AWS) Independent Software Vendor (ISV) Accelerate Program. Read more about this advancement!,/blog/post/amazee-io-joins-aws-isv-accelerate-program
Jason Lewis,"Feb 20, 2023","Welcome Cezary Rataj, our new Delivery Lead at amazee.io!","Cezary brings over 22 years of experience in various technical roles, from development to IT operations management and delivery management.",/blog/post/welcome-cezary-rataj
Jason Lewis,"Feb 14, 2023","Meet Marco Cadetg, our new Platform Software Engineer","With over fifteen years of experience in the tech industry, Marco brings a wealth of knowledge to our global team.",/blog/post/meet-marco-cadetg
Jason Lewis,"Feb 01, 2023","Welcome our new Sales Solutions Architect, Henk Beld, to the amazee.io team","Henk brings a wealth of experience to the team, having worked in the IT industry for many years.",/blog/post/welcome-henk-beld
Jason Lewis,"Feb 01, 2023",Say hi to Bree Benesh – amazee.io’s new Sales Solutions Architect,"Bree joins us from a digital agency, where she worked as a team lead for around 30 WordPress and Drupal developers.",/blog/post/say-hi-to-bree-benesh
Jason Lewis,"Jan 09, 2023","Meet Martina Augurio, our Client Engagement Manager","Martina started her career in Shanghai, China, where she worked as a Marketing Researcher for an international e-commerce company. She then moved to Milan, Italy, working as an Account Manager at Accenture.",/blog/post/say-hi-to-martina-augurio
Alanna Burke,"Nov 23, 2022","Welcome to Discord, Lagoon","The amazee.io team has been working on building our Lagoon community, and we’re consolidating it into one official home for information, community, help, and idea sharing.",/blog/post/welcome-to-discord-lagoon
Sophia Harris,"Nov 14, 2022","Meet Martin Hechtl, our Sales Representative",His number one priority when working with clients is to deeply and truly understand their needs so he can help them in the best way possible.,/blog/post/meet-martin-hechtl
