title,description,date,link
Connect with us at DrupalCon Barcelona 2024,"We're proud to be sponsoring and talking at DrupalCon Barcelona, Sep 24-27, 2024. Stop by our booth, and let's discuss your Drupal hosting requirements.",2024-06-07T15:19:00.000Z,https://www.amazee.io/events/drupalcon-barcelona-2024
Register today for LagoonCon Barcelona 2024,"Join us for FREE at LagoonCon Barcelona on September 23rd, a DrupalCon Day-0 event, and discover an easier way to deliver applications with Lagoon, our open source app delivery platform.",2024-06-05T12:00:00.000Z,https://www.amazee.io/lagooncon-barcelona-2024
"Attending Drupal GovCon 2024?
Let's talk open source hosting!","Our team will present a keynote and session at Drupal GovCon, and we'd love to meet you in person and discuss your Drupal hosting needs for Government Agencies.",2024-05-30T14:19:00.000Z,https://www.amazee.io/events/drupal-govcon-2024
Connect with us in Utrecht on June 12th at Drupaljam 2024!,"Stop by our booth at Drupaljam in Utrecht to meet our team, discuss your Drupal hosting requirements, and learn why customers love amazee.io's open source PaaS. We look forward to chatting with you.",2024-05-29T16:19:00.000Z,https://drupaljam.nl/
Register today for LagoonCon Portland 2024,"Join us on May 6 for LagoonCon Portland (it's free!), and discover an easier way to deliver applications with Lagoon, our open source application delivery platform by developers for developers.",2024-04-10T12:00:00.000Z,https://www.amazee.io/lagooncon-portland-2024
Connect with the amazee.io team at DrupalCon Portland 2024,"Visit our booth at DrupalCon Portland to meet our team, discuss your Drupal hosting needs, and discover why customers love amazee.io's open source PaaS.",2024-03-07T22:00:00.000Z,https://www.amazee.io/events/drupalcon-portland-2024
Virtual Series: API the Docs – Keynote by amazee.io CTO Michael Schmid,"Join Michael for his Keynote – Where’s my data traveling when using AI, as he looks at how our data travels through various AI solutions, where the data is stored, and the risks connected to that.",2024-03-06T22:00:00.000Z,https://apithedocs.org/ai-2024/michael-schmid
Meet with the amazee.io team at DrupalSouth Sydney 2024,"We can't wait for DrupalSouth in the picturesque city of Sydney. Visit our booth to meet our team, discuss your Drupal hosting needs, and get some amazeeng swag.",2024-02-20T22:00:00.000Z,https://www.amazee.io/events/drupalsouth-sydney-2024
Connect with the amazee.io team at DrupalCon Lille 2023,"amazee.io will be in Lille for DrupalCon and looks forward to connecting with the Drupal community at our booth (Stand 4). We'll also be presenting several sessions, so check out our schedule, and be sure to stop by our booth and grab some ""compose(t)able swag.",2023-08-27T22:00:00.000Z,https://www.amazee.io/events/drupalcon-lille-2023
"Join us at ComposableNOW 2023 in Lille, France","Join us on 16 October for technical talks, best practices, and demos about the latest innovations on decoupled, headless, open source, and composable web.",2023-08-24T22:00:00.000Z,https://www.amazee.io/composablenow-2023
Connect with the amazee.io team at Decoupled Days 2023,Stop by the amazee.io booth at Decoupled Days 2023 to meet our awesome team of composable web and AI hosting experts. We look forward to chatting with you.,2023-07-09T22:00:00.000Z,https://www.amazee.io/events/decoupled-days-2023
Stop by the amazee.io booth at Drupal Developer Days Vienna 2023,Attending Drupal Developer Days Vienna? Come chat with us about why the future of the open web is composable.,2023-07-08T22:00:00.000Z,https://ddd23.drupalcamp.at/
"Join us for the first ever LagoonCon in Pittsburgh,
June 6, 2023","If you’re a developer looking for an easier way to deliver applications, then look no further.",2023-05-04T22:00:00.000Z,https://www.amazee.io/events/lagooncon-2023
"Meet us at DrupalCon Pittsburgh, June 5-8, 2023","Visit us for a chat about composable web - where you are, and how we can help bring you into the future with our flexible, developer-first approach.",2023-05-01T22:00:00.000Z,https://www.amazee.io/events/drupalcon-pittsburgh-2023
"Join amazee.io at DrupalSouth Wellington, 17-19 May 2023","Stop by the amazee.io booth at DrupalSouth Wellington to meet our awesome team, and learn all about what we’re doing with composable web.",2023-04-23T22:00:00.000Z,https://www.amazee.io/events/drupalsouth-wellington-2023
Visit amazee.io at KubeCon and CloudNativeCon in Amsterdam,"Visit amazee.io at KubeCon and CloudNativeCon in Amsterdam, at the Mirantis booth, #S106, to make Kubernetes work for you, using our innovative platforms and services.",2023-04-05T22:00:00.000Z,https://www.amazee.io/events/amazee-io-at-kubecon-and-cloudnativecon-europe-2023
Visit amazee.io at DrupalCon Prague in September,"Drupal is one of our favorite systems. Prague is one of our favorite cities. So naturally, we can’t wait for DrupalCon in Prague! Will we see you there?",2022-08-07T22:00:00.000Z,https://www.amazee.io/events/drupalcon-prague-2022
