href,title,excerpt,time,category,img_src
https://unitedhebrewgeriatric.org/pride-in-action-creating-a-welcoming-space-for-lgbtqia-seniors-staff/,Pride in Action: Creating a Welcoming Space for LGBTQIA+ Seniors & Staff,"At United Hebrew, creating a community where everyone feels respected and welcome is paramount. The senior living campus in New Rochelle is dedicated to ensuring LGBTQIA+ residents and staff always feel appreciated and supported, demonstrated through an inherently accepting campus culture, inclusive policies, and formal training. A Supportive Greeting Visitors and prospective families are warmly … Continue reading “Pride in Action: Creating a Welcoming Space for LGBTQIA+ Seniors & Staff”","June 27, 2024",All,https://unitedhebrewgeriatric.org/wp-content/uploads/2024/06/United-Hebrew-Pride-1-1568x1176.png
https://unitedhebrewgeriatric.org/stop-senior-falls-before-they-happen-simple-safety-tips/,Stop Senior Falls Before They Happen: Simple Safety Tips  ,"As we age, our muscles weaken and we lose balance more easily, making us more susceptible to falls. Unintentional falls are the leading cause of injury among adults older than 65 years old, according to the Centers for Disease Control. The reassuring news? These falls are preventable. Uncover the Reasons Behind Falls It’s important to … Continue reading “Stop Senior Falls Before They Happen: Simple Safety Tips  “","June 12, 2024",All,https://unitedhebrewgeriatric.org/wp-content/uploads/2024/06/Untitled-design-3.png
https://unitedhebrewgeriatric.org/students-residents-the-future-of-senior-care/,"Students, Residents, & The Future of Senior Care","At United Hebrew, we’re committed to providing exceptional care for our senior residents. But that commitment extends beyond our walls. We believe in fostering the next generation of nurses who will be dedicated to senior care. That’s why we’re proud to partner with local higher education institutions like Iona University and Manhattanville College to provide … Continue reading “Students, Residents, & The Future of Senior Care”","March 26, 2024",All,https://unitedhebrewgeriatric.org/wp-content/uploads/2024/03/Untitled-design-3.png
https://unitedhebrewgeriatric.org/united-hebrew-recognized-for-lgbtq-inclusive-senior-care/,United Hebrew Recognized for LGBTQ+ Inclusive Senior Care,"In a significant stride towards inclusivity, United Hebrew proudly announces its attainment of the esteemed SAGECare credential, reaffirming its dedication to fostering a supportive environment for LGBTQ+ older adults. This partnership with SAGECare underscores United Hebrew’s commitment to providing exceptional care and services tailored to the unique needs of LGBTQ+ individuals. The journey towards this … Continue reading “United Hebrew Recognized for LGBTQ+ Inclusive Senior Care”","March 25, 2024",All,https://unitedhebrewgeriatric.org/wp-content/uploads/2024/03/Untitled-design-2.png
https://unitedhebrewgeriatric.org/family-caregivers-6-tips-for-a-healthy-balanced-life-in-your-60s/,"Family Caregivers: 6 Tips for a Healthy, Balanced Life in Your 60s","Did you know that the average age of a family caregiver to a sick or elderly loved one over age 65 is 63 years old? This group of Boomer-generation caregivers is also predominantly female (more than 70%) and finding themselves with fewer familial resources and opportunities to refuel physically and mentally. “This is a relatively … Continue reading “Family Caregivers: 6 Tips for a Healthy, Balanced Life in Your 60s”","December 8, 2022","Uncategorized, All, Caregivers, Healthy Aging",https://unitedhebrewgeriatric.org/wp-content/uploads/2022/12/Untitled-design-3.png
https://unitedhebrewgeriatric.org/dos-and-donts-for-speaking-with-people-with-dementia/,Do’s and Don’ts for Speaking With People With Dementia,How Alzheimer’s disease and related dementias affects people varies widely: A mother who used to be quiet may become chatty; a father no longer remembers his daughter; a demure grandmother might now be heard using obscenities. Families who had a shorthand for speaking with each other now find themselves at a loss for what to … Continue reading “Do’s and Don’ts for Speaking With People With Dementia”,"May 15, 2022","All, Alzheimer’s and Dementia",https://unitedhebrewgeriatric.org/wp-content/uploads/2022/05/Untitled-design-5.png
https://unitedhebrewgeriatric.org/jim-staudt-honored-for-service-to-united-hebrew/,Jim Staudt Honored for Service to United Hebrew ,"Congratulations to Jim Staudt, a stalwart supporter of United Hebrew, recognized by the Westchester Jewish Council with the Julian Y. Bernstein distinguished service award!  Jim has volunteered over 500 hours over the past seven years on our campus. On our board of directors, he serves as a member and past chair, and current co-senior chair. … Continue reading “Jim Staudt Honored for Service to United Hebrew “","May 11, 2022","Uncategorized, All",https://unitedhebrewgeriatric.org/wp-content/uploads/2022/05/Untitled-design-3.png
https://unitedhebrewgeriatric.org/celebrating-long-term-cares-unsung-heroes-social-workers/,Celebrating Long-Term Care’s Unsung Heroes: Social Workers,"“The Time Is Right for Social Work” – that’s the theme of this year’s Social Work Month, and we couldn’t agree more. So as March goes out – hopefully, like a lamb – we celebrate the 720,000 social workers in the US, with a special nod to those serving our residents and their families right here … Continue reading “Celebrating Long-Term Care’s Unsung Heroes: Social Workers”","March 30, 2022","Uncategorized, All",https://unitedhebrewgeriatric.org/wp-content/uploads/2022/03/Untitled-design.png
https://unitedhebrewgeriatric.org/seniors-share-views-on-the-world-in-current-events-group/,Seniors Share Views on the World in Current Events Group,Should the U.S. become involved in the Russia/Ukraine conflict? What’s the impact of commercial development in downtown New Rochelle? How will former President Trump factor in the future of the Republican party?  These are just some of the big questions tackled by the  Current Events group at United Hebrew’s Willow Towers Assisted Living community. “The point … Continue reading “Seniors Share Views on the World in Current Events Group”,"February 26, 2022","All, Assisted Living",https://unitedhebrewgeriatric.org/wp-content/uploads/2022/02/Untitled-design-2.png
https://unitedhebrewgeriatric.org/our-short-stay-rehab-center-named-among-best-in-nation/,Our Short-Stay Rehab Center Again Named Among Best in Nation,"Huge news! For the fourth year in a row, we have been recognized with the highest rating possible for our short-stay rehabilitation facility for 2021-2022 by U.S. News & World Report. Of the 13,500 facilities evaluated, just 1,651 earned the coveted “High Performing” rating. That places United Hebrew’s short-stay facility among the top 12% in the nation.  … Continue reading “Our Short-Stay Rehab Center Again Named Among Best in Nation”","November 11, 2021","All, Rehabilitation",https://unitedhebrewgeriatric.org/wp-content/uploads/2021/11/Rehab-STR-HP-blog.png
https://unitedhebrewgeriatric.org/music-to-their-ears-grant-expands-program-using-music-to-tap-into-precious-memories/,Music to Our Ears: Grant Expands Program Using Music to Tap into Precious Memories,"Music has always been an essential part of life on our campus. From musical entertainment to specialized music therapy programs, we’ve long witnessed the power of music to lift our residents’ spirits and engage with each other and the world around them. This is especially true for our residents with dementia who suffer from cognitive … Continue reading “Music to Our Ears: Grant Expands Program Using Music to Tap into Precious Memories”","October 26, 2021","All, Alzheimer’s and Dementia",https://unitedhebrewgeriatric.org/wp-content/uploads/2021/10/Music-and-Memory-Expands-at-United-Hebrew-of-New-Rochelle.png
https://unitedhebrewgeriatric.org/assisted-living-or-skilled-nursing-which-is-right-for-your-loved-one/,Assisted Living or Skilled Nursing:  Which is Right for Your Loved One?,"You may be at a point in your life when you are noticing that your aging parents need a little help. You might be helping out with whatever they need – shopping, cleaning, or driving them to appointments. If you have the time, caregiving for loved ones can be incredibly rewarding. But you may be … Continue reading “Assisted Living or Skilled Nursing:  Which is Right for Your Loved One?”","October 21, 2021","All, Assisted Living, Long-term Care",https://unitedhebrewgeriatric.org/wp-content/uploads/2021/10/Whats-the-difference-between-skilled-nursing-and-assisted-living.png
https://unitedhebrewgeriatric.org/united-hebrew-ranked-among-newsweeks-americas-best-nursing-homes/,United Hebrew Ranks Among Newsweek’s ‘America’s Best Nursing Homes’,"For families searching for excellent skilled nursing care, positive ratings are valuable tools when reviewing options for care. So it is welcome news that United Hebrew of New Rochelle has been ranked by Newsweek among the nation’s best! Of the nearly 12,000 nursing homes evaluated, only 450 made the magazine’s list. That places us among the top … Continue reading “United Hebrew Ranks Among Newsweek’s ‘America’s Best Nursing Homes’”","October 5, 2021","Uncategorized, All",https://unitedhebrewgeriatric.org/wp-content/uploads/2021/10/United-Hebrew-best-nursing-home.png
https://unitedhebrewgeriatric.org/planning-hip-or-knee-replacement-surgery-read-this-first/,Planning Hip or Knee Replacement Surgery? Read This First.,"If an injury or wear and tear are prompting you to consider a hip or knee replacement, you are not alone. According to the National Institutes of Health, over 1 million such procedures are performed each year in the United States. Besides vetting a surgeon and hospital or outpatient facility, it’s important to also consider … Continue reading “Planning Hip or Knee Replacement Surgery? Read This First.”","September 29, 2021","All, Rehabilitation",https://unitedhebrewgeriatric.org/wp-content/uploads/2021/09/Hip-replacement-care.png
https://unitedhebrewgeriatric.org/united-hebrew-president-ceo-rita-mabli-honored-with-top-executive-award/,United Hebrew President & CEO Rita Mabli Honored With Top Executive Award,"Another feather in her cap! Our warmest congratulations to Rita Mabli, who will be honored with the 2021 C-Suite Award on October 14. Presented by the Westchester & Fairfield County Business Journals, the awards honor top executives who create innovative ideas that propel progress and success in their respective organizations. Ms. Mabli has won many … Continue reading “United Hebrew President & CEO Rita Mabli Honored With Top Executive Award”","September 27, 2021","All, Our Stories",https://unitedhebrewgeriatric.org/wp-content/uploads/2021/09/Rita-Mabli-C-Suite-Award.png
https://unitedhebrewgeriatric.org/dr-elaine-healy-honored-with-lifetime-achievement-award/,Dr. Elaine Healy Honored With Lifetime Achievement Award,"Our heartiest congratulations to Elaine Healy, MD, who will be honored with the 2021 Lifetime Achievement Award presented by the Westchester Fairfield County Business Journals at its upcoming Doctors of Distinction award ceremony. Dr. Healy, our medical director and vice president of medical affairs, will be recognized for her extraordinary career as a geriatric clinician, health … Continue reading “Dr. Elaine Healy Honored With Lifetime Achievement Award”","August 23, 2021","All, Our Stories",https://unitedhebrewgeriatric.org/wp-content/uploads/2021/08/Untitled-design-2.png
https://unitedhebrewgeriatric.org/united-hebrew-is-a-great-placeto-feel-at-home/,United Hebrew is a Great Place…to Feel at Home!,"Lorna Hawthorne remembers the day she started working in the housekeeping department at United Hebrew: March 22, 1999. She felt at home right away. Not only were her new co-workers friendly and warm, she says, “The residents were happy to meet me, too!” She had moved to the United States from Jamaica a few years … Continue reading “United Hebrew is a Great Place…to Feel at Home!”","August 9, 2021","Uncategorized, All",https://unitedhebrewgeriatric.org/wp-content/uploads/2021/08/Untitled-design-3.png
https://unitedhebrewgeriatric.org/never-leave-home-without-lipstick-says-this-105-year-old/,‘Never Leave Home Without Lipstick’ Says This 105-Year-Old,"Sylvia Sabat, née Epstein, came of age during the Roaring 20s. She lived with her parents and two sisters on Houston Street, in the Lower East Side of Manhattan, then a teeming, bustling magnet for immigrants. She and her sisters loved being out and about. They frequented her family-owned grocery store, located on St. Marks Place. … Continue reading “‘Never Leave Home Without Lipstick’ Says This 105-Year-Old”","June 18, 2021",All,https://unitedhebrewgeriatric.org/wp-content/uploads/2021/06/Untitled-design-2.png
