href,title,excerpt,img_src
https://unitedhebrewgeriatric.org/pride-in-action-creating-a-welcoming-space-for-lgbtqia-seniors-staff/,Pride in Action: Creating a Welcoming Space for LGBTQIA+ Seniors & Staff,"At United Hebrew, creating a community where everyone feels respected and welcome is paramount. The senior living campus in New Rochelle is dedicated to ensuring",https://unitedhebrewgeriatric.org/wp-content/uploads/2024/06/United-Hebrew-Pride-1.png
https://unitedhebrewgeriatric.org/stop-senior-falls-before-they-happen-simple-safety-tips/,Stop Senior Falls Before They Happen: Simple Safety Tips,"As we age, our muscles weaken and we lose balance more easily, making us more susceptible to falls. Unintentional falls are the leading cause of",https://unitedhebrewgeriatric.org/wp-content/uploads/2024/06/Untitled-design-3.png
https://unitedhebrewgeriatric.org/celebrating-105-years-honoring-rita-mabli-unveiling-a-fresh-new-look/,"Celebrating 105 Years: Honoring Rita Mabli, Unveiling a Fresh New Look!","What a night! United Hebrew’s 105th Anniversary Gala was a resounding success, raising critical funds for senior care and offering a glimpse into United Hebrew’s",https://unitedhebrewgeriatric.org/wp-content/uploads/2024/05/Untitled-design-2.png
https://unitedhebrewgeriatric.org/why-i-serve-and-why-serving-the-elderly-matters/,"Why I Serve, and Why Serving the Elderly Matters","by Malcolm Lazarus As I approach the 40-year mark of my involvement with United Hebrew, I find myself reflecting on the journey that brought me",https://unitedhebrewgeriatric.org/wp-content/uploads/2024/04/Untitled-design-5.png
https://unitedhebrewgeriatric.org/students-residents-the-future-of-senior-care/,"Students, Residents, & The Future of Senior Care","At United Hebrew, we’re committed to providing exceptional care for our senior residents. But that commitment extends beyond our walls. We believe in fostering the",https://unitedhebrewgeriatric.org/wp-content/uploads/2024/03/Untitled-design-3.png
https://unitedhebrewgeriatric.org/united-hebrew-recognized-for-lgbtq-inclusive-senior-care/,United Hebrew Recognized for LGBTQ+ Inclusive Senior Care,"In a significant stride towards inclusivity, United Hebrew proudly announces its attainment of the esteemed SAGECare credential, reaffirming its dedication to fostering a supportive environment",https://unitedhebrewgeriatric.org/wp-content/uploads/2024/03/Untitled-design-2.png
https://unitedhebrewgeriatric.org/your-hearts-health-maintaining-a-steady-rhythm-as-you-age/,Your Heart’s Health: Maintaining a Steady Rhythm as You Age,"Our hearts, the tireless engines working tirelessly within us, deserve our utmost care. But as we age, the years can take a toll, potentially introducing",https://unitedhebrewgeriatric.org/wp-content/uploads/2024/03/2.png
https://unitedhebrewgeriatric.org/a-guide-to-guardianship-empowering-your-family-to-plan-for-the-future/,A Guide to Guardianship: Empowering Your Family to Plan for the Future,Recent news of celebrities like Jay Leno and Brian Wilson filing for conservatorship for incapacitated family members have sparked conversations about planning for the future.,https://unitedhebrewgeriatric.org/wp-content/uploads/2024/02/Guardianship-blog-hero-image-1.png
https://unitedhebrewgeriatric.org/thriving-at-80-and-beyond-3-healthy-habits-to-age-well/,Thriving at 80 and Beyond: 3 Healthy Habits to Age Well,Mike Morales is always in motion. The energetic resident of United Hebrew’s senior apartments grew up running cross country trails in Van Cortlandt Park in,https://unitedhebrewgeriatric.org/wp-content/uploads/2024/01/Stay-Fit-in-80s-UH-800-x-448.png
https://unitedhebrewgeriatric.org/for-profit-or-nonprofit-senior-living-whats-right-for-your-family/,For-Profit or Nonprofit Senior Living: What’s Right for Your Family?,"Explore your options, just ‘45 Minutes from Broadway’ In the early 20th century, the American entertainer and playwright, George M. Cohan, a frequent visitor to",https://unitedhebrewgeriatric.org/wp-content/uploads/2024/01/Armand-and-Letha-800-x-448.png
https://unitedhebrewgeriatric.org/6-ways-reading-keeps-senior-brains-sharp/,6 Ways Reading Keeps Senior Brains Sharp,"Maintaining cognitive health as we age is key to living a fulfilling independent life. Just like weight bearing exercises help keep muscles strong, your brain",https://unitedhebrewgeriatric.org/wp-content/uploads/2023/12/Untitled-design-59.png
https://unitedhebrewgeriatric.org/united-hebrew-community-service-awards-recognize-caring-forces-in-westchester/,United Hebrew Community Service Awards Recognize Caring Forces in Westchester,"When community stewardship is bolstered by consistent caring actions on behalf of others, neighbors and communities thrive. These qualities are special and for several years,",https://unitedhebrewgeriatric.org/wp-content/uploads/2023/10/CSA-Dr.-Matos.png
https://unitedhebrewgeriatric.org/shining-a-light-on-dementia-how-daylight-savings-time-affects-sundowning/,Shining a Light on Dementia: How Daylight Savings Time Affects Sundowning,"As the hands of the clock spring forward or fall back, the biannual ritual of Daylight Savings Time affects more than just our schedules and",https://unitedhebrewgeriatric.org/wp-content/uploads/2023/10/Sundown-Blog-Opt.-1.png
https://unitedhebrewgeriatric.org/navigating-the-conversation-10-ideas-for-talking-to-aging-parents-about-assisted-living/,Navigating the Conversation: 10 Ideas for Talking to Aging Parents About Assisted Living,Discussing the transition to assisted living with aging parents can be challenging and may feel awkward. But research consistently shows that as our loved ones,https://unitedhebrewgeriatric.org/wp-content/uploads/2023/09/The-Talk-Blog-800-x-448-.png
https://unitedhebrewgeriatric.org/one-of-new-yorks-healthiest-counties-grapples-with-high-incidence-of-alzheimers-disease/,One of New York’s Healthiest Counties Grapples with High Incidence of Alzheimer’s Disease,"A teeming suburb just north of New York City, Westchester County is known for its picturesque landscapes, thriving cultural scene, and, according to US News",https://unitedhebrewgeriatric.org/wp-content/uploads/2023/08/NYS-Alz-rates-blog-800-x-448-.png
