href,title,excerpt,img_src
https://willowtowers.com/student-volunteers-at-willow-towers-honored-for-extraordinary-service/,Student Volunteers at Willow Towers Honored for Extraordinary Service,"Fordham Prep Student Group Named NYSCAL ‘Volunteers of the Year’ With the widespread lifestyle of the modern American family, older loved ones are increasingly separated from their families and other support systems. Adding to physical distances, the perennial generation gap persists, emphasized by the latest catch phrase “OK Boomer,” used by Generation Z to dismiss their elders. To help bridge this gap, an innovative program at United Hebrew is promoting intergenerational understanding and creating opportunities for young and old to connect...",https://willowtowers.com/wp-content/uploads/2023/04/IMG_0205.jpg
https://willowtowers.com/larchmont-manor-park-a-seasonal-perspective/,Larchmont Manor Park: A Seasonal Perspective,"When practical matters give way to artistic inspiration, who can really say what forces are at play? For Larchmont photographer Thomas Gerspach, an aching back and long therapeutic walks to a nearby park inspired a stunning collection of more than 1,500 photographs. Shot over a two-year period at Larchmont Manor Park, selections of Gerspach’s work will be on display for residents through November 2022 at Willow Towers Assisted Living at United Hebrew of New Rochelle.“From 2017 to 2019 I took...",https://willowtowers.com/wp-content/uploads/2022/10/Larchmont-Manor-Park-Photo-Exhibit-800-×-448-px.png
https://willowtowers.com/get-to-know-evelyn-levine/,Get To Know Evelyn Levine!,"Evelyn Levine is known in our community for her sharp memory, kind manner and storytelling skills. This year, she celebrated her 103rd birthday, becoming one of several Centenarians living in our Willow Towers community!Evelyn enjoys being active. Some of her favorite activities: participating in Jewish culture programs and weekly Shabbat services and attending our special events, including concerts, dance performances, and more. She also delights in playing poker with a large group of friends or taking time for herself to...",https://willowtowers.com/wp-content/uploads/2022/10/Evelyn-Levine-800x448-1.png
https://willowtowers.com/get-to-know-phyllis-silverman/,Get To Know Phyllis Silverman!,"Phyllis enjoys participating in the many activities at Willow Towers. You will often find her engaged in solving crossword puzzles and word games, enjoying exercise classes, participating in our current events discussions and attending concerts. She is also a big fan of our Jewish culture programs. Most importantly, Phyllis feels lucky to have found a great group of friends, who have really made Willow Towers a special place to live.Born in New York, Phyllis grew up in Lakewood, New Jersey...",https://willowtowers.com/wp-content/uploads/2022/07/Untitled-design.png
https://willowtowers.com/get-to-know-adele-weisberg/,Get to Know Adele Weisberg!,"Meet Adele Weisberg, who is 103 years young and one of five centenarians at Willow Towers!...",https://willowtowers.com/wp-content/uploads/2022/05/Untitled-design-4.png
https://willowtowers.com/getting-to-know-you-robert-kya-hill/,Getting to Know You:  Robert Kya-Hill,"This 92-year-old still has game! Robert Kya Hill loves to play chess and is happy to teach anyone who is interested in learning. When a group of students from Fordham Prepartory School visited us at Willow Towers over the course of several weeks, Robert played — and won — against nearly every student. Robert continues to enjoy the challenge and loves spending time with them.He was born in Whitakers, North Carolina. Most of his childhood was spent in an even smaller...",https://willowtowers.com/wp-content/uploads/2022/05/Screen-Shot-2022-05-05-at-8.32.23-PM.png
https://willowtowers.com/destinations-exhibition-evokes-memories-of-happy-moments/,‘Destinations’ Exhibition Evokes Memories of Happy Moments,"""Destinations"" is a new art exhibition at Willow Towers at United Hebrew of New Rochelle, featuring oil paintings by Scarsdale artist Dorette Gerspach, on view for residents and visitors from May 4 through June 1....",https://willowtowers.com/wp-content/uploads/2022/04/Untitled-design.png
https://willowtowers.com/fellow-air-force-vets-connect-and-share-memories-at-willow-towers/,Fellow Air Force Vets Connect and Share Memories at Willow Towers,"One of the benefits of living in a senior care community is having the chance to socialize, develop new relationships, and make meaningful personal connections with others. Check out this interview with one of our residents and team members, who both served in the U.S. Air Force. ...",https://willowtowers.com/wp-content/uploads/2022/01/Untitled-design.png
https://willowtowers.com/theres-a-pawsitive-story-unfolding-at-willow-towers/,There’s a ‘Pawsitive’ Story Unfolding at Willow Towers,"Serene always has a friendly paw to offer whomever she encounters. At just 8 pounds, she is small enough to fit onto most laps. While she may be slight in size, Serene has made a big impact on the residents of our Willow Towers Assisted Living community....",https://willowtowers.com/wp-content/uploads/2021/11/Constant-Contact-sized-2.png
https://willowtowers.com/whats-the-difference-between-assisted-living-and-skilled-nursing/,What’s the Difference Between Assisted Living and Skilled Nursing?,"Thinking about what you will do when your loved ones need support to manage daily life? Read this Q&A with Grace Ferri, United Hebrew's chief marketing officer. She explains why it's important to do your research now....",https://willowtowers.com/wp-content/uploads/2021/10/Whats-the-difference-between-skilled-nursing-and-assisted-living.png
https://willowtowers.com/blanche-wager/,Getting to Know You: Blanche Wager,"Meet Blanche Wager, a daughter of Russian immigrants who grew up in Harlem. She studied at Queens College and was among the school's second graduation class. ...",https://willowtowers.com/wp-content/uploads/2021/04/Untitled-design-3.png
https://willowtowers.com/getting-to-know-you-meet-carol-gabow/,Getting to Know You: Meet Carol Gabow,"Meet Carol Gabow: She's the type of person who will try anything once. She attends everything from our sing-alongs, to word games, to exercise classes and conversation groups....",https://willowtowers.com/wp-content/uploads/2021/04/Untitled-design-6.png
https://willowtowers.com/1944-2/,Getting to Know You: Giovanni Dilluvio,"Giovianni Dilluvio is very active in our activity programs: he enjoyed exercising and Tai Chi, attending Catholic mass, and participating in drumming, ice cream socials, concerts, special events and more. ...",https://willowtowers.com/wp-content/uploads/2021/02/Screen-Shot-2021-02-16-at-7.20.29-AM.png
https://willowtowers.com/staying-active-staying-safe-life-at-willow-towers/,"Staying Active, Staying Safe: Life at Willow Towers!","We're supporting our residents’ mental, physical, and spiritual well-being by finding new ways to connect, share, and stay active together....",https://willowtowers.com/wp-content/uploads/2021/02/Assisted-living-residents-staying-active-staying-safe.png
https://willowtowers.com/weighing-senior-living-options-we-have-good-news/,Weighing Senior Living Options? We have good news!,"If you or your loved one are considering a move to assisted living, there has never been a better time. All residents of our communities are eligible to receive the vaccine....",https://willowtowers.com/wp-content/uploads/2021/01/Untitled-design.png
https://willowtowers.com/iona-college-students-virtual-visits-a-breath-of-fresh-air-for-willow-towers-residents/,Iona College Students’ Virtual Visits a ‘Breath of Fresh Air’ for Willow Towers Residents,Virtual visits between Willow Towers Assisted Living residents and Iona College students are putting smiles on many faces and helping to forge new friendships. ...,https://willowtowers.com/wp-content/uploads/2020/12/Iona-College-students-virtually-visit-Willow-Towers-residents-.png
https://willowtowers.com/music-enhances-alzheimers-and-dementia-therapy/,Music Enhances Alzheimer’s and Dementia Therapy,We've recently introduced the personalized music program known as Music & Memory  across our campus. We're seeing happy smiles and engaged listeners! Music therapy has long been an essential element of memory care at United Hebrew. ...,https://willowtowers.com/wp-content/uploads/2020/11/Elderly-man-listening-to-music-with-headphones.png
https://willowtowers.com/whats-the-best-way-to-research-assisted-living-for-your-loved-one/,What’s the Best Way to Research Assisted Living for Your Loved One?,"Whether your loved one’s needs are immediate or in the future, you may be thinking about finding supportive care. Here's how to find the care that's right for them....",https://willowtowers.com/wp-content/uploads/2020/11/Researching-Assisted-Living-facilities.png
https://willowtowers.com/maggie-klein-former-journalist-publisher-named-volunteer-of-the-year/,"Maggie Klein, Former Journalist & Publisher, Named ‘Volunteer of the Year’",Maggie Klein has led lively and thought-provoking discussions on current events with a passionate group of residents at Willow Towers Assisted Living for the past three years....,https://willowtowers.com/wp-content/uploads/2020/09/Untitled-design-2.png
